"video","Baton","Pepper Spray","Uniformed","Chemical Smoke","Gun","Riot Shield","Non Uniformed","spray","running","crowd","brawling","person_on_ground","throwing","arresting","striking","violent_actions","detections_by_second"
"009.mp4","","","","","10","13","150","25","","","","33","","","","0","[object Object]"
"2021-11-14_01.13.50.mp4","","13","","","","","47","35","","","","","","","","0","[object Object]"
"1_4934073479210205678.mp4","","","","","","","","","","","","","","","","0","[object Object]"
"008.mp4","","","6","","","1","40","2","","","","8","","","","0","[object Object]"
"2021-11-20_11.20.14.mp4","","","","","","","20","1","","","","","","","","0","[object Object]"
"20211120_142542.mp4","","","1","","1","","157","","","12","","16","","","4","4","[object Object]"
"20211211_102909.mp4","","","","","","","8","","","","","","","","","0","[object Object]"
"20211120_130642.mp4","","","","","","","411","39","8","","","20","","","54","54","[object Object]"
"20211211_102510.mp4","","","","","","","","","","","","","","","","0","[object Object]"
"20211211_103007.mp4","","","14","","","","21","3","","2","","2","","","","0","[object Object]"
"20211211_102545.mp4","","","3","","2","","13","2","","2","","","","","","0","[object Object]"
"20211211_103043.mp4","","","","","","","104","","","","","","","","","0","[object Object]"
"MVI_1085.mp4","","","","","","","7","","","","","","","","","0","[object Object]"
"MVI_1086.mp4","","","","","1","5","","7","","2","","2","","","","0","[object Object]"
"MVI_1088.mp4","","","","","","","","","","","","","","","","0","[object Object]"
"MVI_1089.mp4","","","","","","","","","","","","","","","","0","[object Object]"
"MVI_1090.mp4","","","","","","4","","","","","","1","","","","0","[object Object]"
"20211211_103154.mp4","","","","","","","25","","","","","","","","","0","[object Object]"
"2021-11-20_11.20.38.mp4","","","","","","4","64","25","","","","","","","","0","[object Object]"
"2021-11-20_11.28.11.mp4","","","1","","2","","9","1","","","","","","","","0","[object Object]"
"2021-11-20_11.26.54.mp4","","","","","5","","24","3","","","","","","","","0","[object Object]"
"2021-11-20_11.21.37.mp4","","","","","","1","19","2","","","","","","","","0","[object Object]"
"2021-11-20_11.28.22.mp4","","","3","","1","","84","12","","","","2","","","","0","[object Object]"
"2021-11-20_11.27.48.mp4","","","1","","","","35","1","","","","","","","","0","[object Object]"
"Mason_Dance.mp4","","","15","","3","","15","","","1","","1","","","","0","[object Object]"
"MVI_1091.mp4","","","","","","","","","","","","","","","","0","[object Object]"
"20211211_103331.mp4","","","","6","","","11","21","","4","","","","","","0","[object Object]"
"20211211_103707.mp4","","","","","","","23","11","","","","","","","","0","[object Object]"
"MVI_1092.mp4","","","","","","","","","","","","","","","","0","[object Object]"
"Marching_01.mp4","4","1","564","1","10","272","4071","130","4","183","6","1629","","","534","540","[object Object]"
"2021-11-20_11.32.07.mp4","","","2","","","","41","5","","","","","","","","0","[object Object]"
"2021-11-20_12.36.40.mp4","","","","","2","","37","14","","","","12","","","","0","[object Object]"
"2021-11-20_12.37.40.mp4","","","","","","1","61","24","","19","","15","","","","0","[object Object]"
"2021-11-20_11.31.24.mp4","","","","","","","100","9","","2","","4","","","","0","[object Object]"
"2021-11-20_12.35.43.mp4","","","","","","","15","","","","","1","","","","0","[object Object]"
"2021-11-20_12.40.41.mp4","","","","","1","","68","11","","2","","12","","","","0","[object Object]"
"2021-11-20_12.40.26.mp4","","","","","2","","11","1","","","","","","","","0","[object Object]"
"2021-11-20_12.40.13.mp4","","","","","","","10","","","","","1","","","","0","[object Object]"
"2021-11-20_12.43.42.mp4","","","","","","","18","3","","","","1","","","","0","[object Object]"
"2021-11-20_12.46.54.mp4","","","","","","","49","4","","","","","","","4","4","[object Object]"
"Cross_Media-13.mp4","","","4","","","7","386","","","96","","84","","","","0","[object Object]"
"20211114_072618.mp4","","","","","","","","4","","","","","","","","0","[object Object]"
"DSCF2988.mp4","","","5","1","","","23","4","","","","","","","","0","[object Object]"
"DSCF2987.mp4","9","","31","1","","","111","23","","","8","7","","","","8","[object Object]"
"DSCF2967.mp4","","","3","","","","79","","","4","","4","","","","0","[object Object]"
"2021-11-20_12.53.13.mp4","","","","","5","","95","1","2","","","10","","","6","6","[object Object]"
