label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
uniformed,345,396,182,324,0.jpg,1280,720
uniformed,631,349,269,368,0.jpg,1280,720
non_uniformed,501,592,179,127,0.jpg,1280,720
non_uniformed,585,119,36,81,0.jpg,1280,720
non_uniformed,607,99,30,76,0.jpg,1280,720
baton,863,610,33,107,0.jpg,1280,720
uniformed,343,395,184,322,1.jpg,1280,720
non_uniformed,501,590,180,128,1.jpg,1280,720
uniformed,630,350,268,369,1.jpg,1280,720
non_uniformed,586,115,36,83,1.jpg,1280,720
non_uniformed,605,98,33,79,1.jpg,1280,720
baton,862,614,35,103,1.jpg,1280,720
uniformed,316,395,190,323,10.jpg,1280,720
uniformed,676,338,245,382,10.jpg,1280,720
non_uniformed,504,601,186,118,10.jpg,1280,720
non_uniformed,586,122,38,77,10.jpg,1280,720
non_uniformed,606,100,29,77,10.jpg,1280,720
baton,875,593,42,124,10.jpg,1280,720
uniformed,670,337,249,381,11.jpg,1280,720
uniformed,317,387,189,330,11.jpg,1280,720
non_uniformed,505,589,195,129,11.jpg,1280,720
non_uniformed,583,117,43,83,11.jpg,1280,720
non_uniformed,603,93,35,89,11.jpg,1280,720
baton,861,584,56,131,11.jpg,1280,720
uniformed,670,337,249,380,12.jpg,1280,720
uniformed,316,387,191,330,12.jpg,1280,720
non_uniformed,505,589,192,129,12.jpg,1280,720
non_uniformed,589,124,35,75,12.jpg,1280,720
non_uniformed,605,98,29,84,12.jpg,1280,720
baton,866,592,49,124,12.jpg,1280,720
uniformed,670,337,249,381,13.jpg,1280,720
uniformed,317,391,186,327,13.jpg,1280,720
non_uniformed,505,589,192,129,13.jpg,1280,720
non_uniformed,588,119,34,82,13.jpg,1280,720
non_uniformed,605,103,29,73,13.jpg,1280,720
baton,869,591,47,124,13.jpg,1280,720
uniformed,662,334,247,383,14.jpg,1280,720
uniformed,316,386,189,331,14.jpg,1280,720
non_uniformed,508,587,187,133,14.jpg,1280,720
non_uniformed,582,118,41,85,14.jpg,1280,720
non_uniformed,603,101,31,73,14.jpg,1280,720
baton,853,593,56,125,14.jpg,1280,720
uniformed,662,334,247,383,15.jpg,1280,720
uniformed,316,386,189,331,15.jpg,1280,720
non_uniformed,510,587,185,133,15.jpg,1280,720
non_uniformed,607,95,28,79,15.jpg,1280,720
non_uniformed,590,126,33,75,15.jpg,1280,720
baton,856,593,49,125,15.jpg,1280,720
uniformed,662,334,247,383,16.jpg,1280,720
uniformed,314,386,193,333,16.jpg,1280,720
non_uniformed,510,586,185,133,16.jpg,1280,720
non_uniformed,589,124,35,77,16.jpg,1280,720
non_uniformed,603,103,31,71,16.jpg,1280,720
baton,854,594,52,124,16.jpg,1280,720
uniformed,654,337,243,383,17.jpg,1280,720
uniformed,311,381,206,336,17.jpg,1280,720
non_uniformed,510,591,185,126,17.jpg,1280,720
non_uniformed,581,120,41,84,17.jpg,1280,720
non_uniformed,603,103,33,72,17.jpg,1280,720
baton,851,592,43,127,17.jpg,1280,720
uniformed,653,340,245,380,18.jpg,1280,720
uniformed,311,381,206,336,18.jpg,1280,720
non_uniformed,509,591,186,126,18.jpg,1280,720
non_uniformed,585,124,43,77,18.jpg,1280,720
non_uniformed,603,101,33,76,18.jpg,1280,720
baton,848,588,53,131,18.jpg,1280,720
uniformed,653,338,243,382,19.jpg,1280,720
uniformed,311,381,210,337,19.jpg,1280,720
non_uniformed,508,591,187,126,19.jpg,1280,720
non_uniformed,586,123,39,80,19.jpg,1280,720
non_uniformed,604,102,31,73,19.jpg,1280,720
baton,849,591,47,127,19.jpg,1280,720
uniformed,661,342,252,378,2.jpg,1280,720
uniformed,335,389,184,328,2.jpg,1280,720
non_uniformed,501,600,189,120,2.jpg,1280,720
non_uniformed,587,128,35,72,2.jpg,1280,720
non_uniformed,604,102,30,73,2.jpg,1280,720
baton,864,603,49,114,2.jpg,1280,720
uniformed,633,337,252,380,20.jpg,1280,720
