label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
baton,1067,187,190,182,000000.jpg,1280,720
riot_shield,524,445,312,240,000000.jpg,1280,720
baton,698,283,46,56,000000.jpg,1280,720
baton,1038,175,241,195,000001.jpg,1280,720
riot_shield,523,431,323,238,000001.jpg,1280,720
baton,709,272,36,51,000001.jpg,1280,720
baton,1068,183,211,151,000002.jpg,1280,720
riot_shield,527,437,321,240,000002.jpg,1280,720
baton,715,255,30,53,000002.jpg,1280,720
baton,1093,220,154,102,000003.jpg,1280,720
baton,721,263,22,46,000003.jpg,1280,720
riot_shield,529,435,317,245,000003.jpg,1280,720
riot_shield,526,433,311,218,000004.jpg,1280,720
baton,1094,245,184,71,000004.jpg,1280,720
riot_shield,528,436,261,206,000005.jpg,1280,720
riot_shield,526,424,281,247,000006.jpg,1280,720
baton,1048,284,230,97,000006.jpg,1280,720
riot_shield,521,415,272,270,000007.jpg,1280,720
baton,1028,292,204,138,000007.jpg,1280,720
riot_shield,524,404,265,279,000008.jpg,1280,720
baton,1038,292,157,169,000008.jpg,1280,720
riot_shield,535,396,252,289,000009.jpg,1280,720
riot_shield,542,393,250,297,000010.jpg,1280,720
baton,1044,349,55,85,000010.jpg,1280,720
riot_shield,543,388,250,309,000011.jpg,1280,720
baton,1042,217,87,205,000011.jpg,1280,720
riot_shield,540,390,262,329,000012.jpg,1280,720
baton,1054,213,76,209,000012.jpg,1280,720
riot_shield,542,394,250,324,000013.jpg,1280,720
baton,1058,204,89,207,000013.jpg,1280,720
baton,735,240,27,52,000013.jpg,1280,720
riot_shield,539,393,271,327,000014.jpg,1280,720
baton,1065,199,95,225,000014.jpg,1280,720
baton,728,230,44,63,000014.jpg,1280,720
baton,707,264,18,56,000014.jpg,1280,720
riot_shield,540,393,286,324,000015.jpg,1280,720
baton,1068,196,92,234,000015.jpg,1280,720
baton,718,226,18,96,000015.jpg,1280,720
baton,729,233,36,60,000015.jpg,1280,720
baton,725,216,18,105,000016.jpg,1280,720
baton,736,237,33,52,000016.jpg,1280,720
baton,1060,196,85,245,000016.jpg,1280,720
riot_shield,546,375,291,342,000016.jpg,1280,720
riot_shield,560,373,297,346,000017.jpg,1280,720
baton,735,209,17,110,000017.jpg,1280,720
baton,1051,224,60,221,000017.jpg,1280,720
baton,748,213,11,96,000018.jpg,1280,720
baton,1038,249,28,194,000018.jpg,1280,720
riot_shield,570,356,294,359,000018.jpg,1280,720
riot_shield,587,349,291,368,000019.jpg,1280,720
baton,745,207,21,105,000019.jpg,1280,720
baton,1006,205,51,242,000019.jpg,1280,720
riot_shield,583,351,304,369,000020.jpg,1280,720
baton,1000,194,47,249,000020.jpg,1280,720
baton,747,209,17,95,000020.jpg,1280,720
riot_shield,584,351,328,366,000021.jpg,1280,720
baton,738,204,25,102,000021.jpg,1280,720
baton,988,194,55,250,000021.jpg,1280,720
baton,978,203,78,243,000022.jpg,1280,720
baton,742,202,22,97,000022.jpg,1280,720
riot_shield,584,357,346,360,000022.jpg,1280,720
riot_shield,582,366,367,351,000023.jpg,1280,720
baton,745,203,27,85,000023.jpg,1280,720
baton,986,223,79,238,000023.jpg,1280,720
riot_shield,581,373,381,347,000024.jpg,1280,720
baton,747,198,26,89,000024.jpg,1280,720
baton,1027,310,44,159,000024.jpg,1280,720
baton,749,192,31,101,000025.jpg,1280,720
riot_shield,585,382,368,334,000025.jpg,1280,720
riot_shield,589,392,361,327,000026.jpg,1280,720
baton,748,191,42,105,000026.jpg,1280,720
baton,1065,287,48,198,000026.jpg,1280,720
riot_shield,597,392,346,326,000027.jpg,1280,720
baton,754,191,40,114,000027.jpg,1280,720
baton,1067,278,52,207,000027.jpg,1280,720
riot_shield,607,391,333,329,000028.jpg,1280,720
baton,1065,256,41,226,000028.jpg,1280,720
baton,777,236,30,67,000028.jpg,1280,720
baton,784,214,31,81,000029.jpg,1280,720
riot_shield,611,381,318,339,000029.jpg,1280,720
baton,796,208,28,77,000030.jpg,1280,720
riot_shield,615,372,281,336,000030.jpg,1280,720
riot_shield,625,370,272,345,000031.jpg,1280,720
baton,799,179,27,103,000031.jpg,1280,720
riot_shield,618,369,277,347,000032.jpg,1280,720
baton,803,150,21,132,000032.jpg,1280,720
baton,971,263,43,155,000032.jpg,1280,720
riot_shield,619,376,277,344,000033.jpg,1280,720
baton,982,269,35,151,000033.jpg,1280,720
baton,800,152,31,126,000033.jpg,1280,720
baton,975,334,36,176,000034.jpg,1280,720
baton,809,185,31,115,000034.jpg,1280,720
riot_shield,616,398,249,322,000034.jpg,1280,720
baton,810,165,53,146,000035.jpg,1280,720
baton,962,382,37,127,000035.jpg,1280,720
riot_shield,611,421,300,295,000035.jpg,1280,720
baton,802,177,71,149,000036.jpg,1280,720
riot_shield,607,435,310,284,000036.jpg,1280,720
riot_shield,621,438,314,281,000037.jpg,1280,720
baton,783,265,36,93,000037.jpg,1280,720
riot_shield,629,440,316,279,000038.jpg,1280,720
baton,776,239,16,127,000038.jpg,1280,720
baton,754,184,36,281,000039.jpg,1280,720
riot_shield,636,433,321,284,000039.jpg,1280,720
riot_shield,639,428,311,289,000040.jpg,1280,720
riot_shield,628,433,331,287,000041.jpg,1280,720
riot_shield,611,445,326,271,000042.jpg,1280,720
riot_shield,791,509,282,158,000042.jpg,1280,720
riot_shield,785,504,284,173,000043.jpg,1280,720
riot_shield,599,455,308,262,000043.jpg,1280,720
riot_shield,581,462,328,255,000044.jpg,1280,720
riot_shield,758,504,299,178,000044.jpg,1280,720
riot_shield,553,465,348,251,000045.jpg,1280,720
riot_shield,740,492,302,193,000045.jpg,1280,720
riot_shield,552,462,345,255,000046.jpg,1280,720
riot_shield,724,480,299,182,000046.jpg,1280,720
baton,1022,150,27,65,000046.jpg,1280,720
riot_shield,540,453,348,267,000047.jpg,1280,720
riot_shield,725,465,292,180,000047.jpg,1280,720
baton,1028,129,22,73,000047.jpg,1280,720
baton,1029,117,21,69,000048.jpg,1280,720
riot_shield,561,418,334,302,000048.jpg,1280,720
riot_shield,722,445,289,136,000048.jpg,1280,720
riot_shield,577,403,326,317,000049.jpg,1280,720
riot_shield,759,437,257,128,000049.jpg,1280,720
riot_shield,598,376,314,341,000050.jpg,1280,720
riot_shield,770,430,254,108,000050.jpg,1280,720
