"index","id","label","time_start","time_end","clarity_level","youtube_id","url_id","user_id"
"10568","Hb_pwU7JlOY3","striking","32","35","easy","Hb_pwU7JlOY","1077","3"
"10387","q-R5Ry7fQFI1","brawling","0","3","easy","q-R5Ry7fQFI","1050","2"
"10567","Hb_pwU7JlOY2","striking","29","32","easy","Hb_pwU7JlOY","1077","3"
"10388","q-R5Ry7fQFI2","brawling","14","17","medium","q-R5Ry7fQFI","1050","2"
"10300","aeudb1mf-Po2","spray","125","127","medium","aeudb1mf-Po","1037","2"
"3830","dQI5JG4q7vY7","person_on_ground","42","45","easy","dQI5JG4q7vY","955","1"
"3831","dQI5JG4q7vY8","running","46","50","bad","dQI5JG4q7vY","955","1"
"3832","dQI5JG4q7vY9","person_on_ground","52","55","easy","dQI5JG4q7vY","955","1"
"3833","dQI5JG4q7vY10","aiming","58","60","none","dQI5JG4q7vY","955","1"
"3834","dQI5JG4q7vY11","advancing","66","68","none","dQI5JG4q7vY","955","1"
"3835","dQI5JG4q7vY12","person_pointing","83","85","none","dQI5JG4q7vY","955","1"
"3836","zwhxo-zzlnQ1","advancing","7","9","none","zwhxo-zzlnQ","492","1"
"3837","zwhxo-zzlnQ2","aiming","10","14","none","zwhxo-zzlnQ","492","1"
"3838","zwhxo-zzlnQ3","aiming","19","23","none","zwhxo-zzlnQ","492","1"
"3839","zwhxo-zzlnQ4","advancing","19","23","none","zwhxo-zzlnQ","492","1"
"3840","zwhxo-zzlnQ5","aiming","24","26","none","zwhxo-zzlnQ","492","1"
"3841","zwhxo-zzlnQ6","aiming","26","28","none","zwhxo-zzlnQ","492","1"
"3842","zwhxo-zzlnQ7","aiming","28","33","none","zwhxo-zzlnQ","492","1"
"3843","zwhxo-zzlnQ8","aiming","36","39","none","zwhxo-zzlnQ","492","1"
"3844","zwhxo-zzlnQ9","running","36","39","bad","zwhxo-zzlnQ","492","1"
"3845","zwhxo-zzlnQ10","running","40","48","medium","zwhxo-zzlnQ","492","1"
"3846","zwhxo-zzlnQ11","aiming","45","49","none","zwhxo-zzlnQ","492","1"
"3847","zwhxo-zzlnQ12","person_on_ground","54","57","easy","zwhxo-zzlnQ","492","1"
"3848","zwhxo-zzlnQ13","person_on_ground","58","61","easy","zwhxo-zzlnQ","492","1"
"3849","zwhxo-zzlnQ14","restraining","61","65","easy","zwhxo-zzlnQ","492","1"
"3850","zwhxo-zzlnQ15","person_on_ground","61","65","hard","zwhxo-zzlnQ","492","1"
"3851","pvuB8st0bEU1","advancing","12","17","none","pvuB8st0bEU","307","1"
"3852","pvuB8st0bEU2","running","72","81","medium","pvuB8st0bEU","307","1"
"3853","pvuB8st0bEU3","advancing","71","80","none","pvuB8st0bEU","307","1"
"3854","pvuB8st0bEU4","throwing","95","98","none","pvuB8st0bEU","307","1"
"10569","Hb_pwU7JlOY4","striking","35","44","easy","Hb_pwU7JlOY","1077","3"
"3680","SAbw6th7PRA6","throwing","118","119","none","SAbw6th7PRA","140","1"
"3681","SAbw6th7PRA7","throwing","120","122","none","SAbw6th7PRA","140","1"
"3682","SAbw6th7PRA8","striking","173","174","none","SAbw6th7PRA","140","1"
"3683","SAbw6th7PRA9","striking","175","177","none","SAbw6th7PRA","140","1"
"3684","SAbw6th7PRA10","striking","178","180","none","SAbw6th7PRA","140","1"
"3685","SAbw6th7PRA11","striking","182","183","none","SAbw6th7PRA","140","1"
"3686","n2NSWnyas-Y1","throwing","13","15","none","n2NSWnyas-Y","242","1"
"3687","n2NSWnyas-Y2","throwing","15","16","none","n2NSWnyas-Y","242","1"
"3688","n2NSWnyas-Y3","throwing","16","18","none","n2NSWnyas-Y","242","1"
"3689","n2NSWnyas-Y4","throwing","24","26","none","n2NSWnyas-Y","242","1"
"3690","n2NSWnyas-Y5","throwing","26","27","none","n2NSWnyas-Y","242","1"
"3691","4c6HQpH7zWQ1","throwing","0","2","none","4c6HQpH7zWQ","234","1"
"3692","4c6HQpH7zWQ2","throwing","4","5","none","4c6HQpH7zWQ","234","1"
"3693","4c6HQpH7zWQ3","blood","159","160","none","4c6HQpH7zWQ","234","1"
"3694","H86W82Bgpq41","throwing","2","4","none","H86W82Bgpq4","366","1"
"3695","H86W82Bgpq42","throwing","6","8","none","H86W82Bgpq4","366","1"
"3696","H86W82Bgpq43","advancing","10","13","none","H86W82Bgpq4","366","1"
"3697","py-4TdJ-P0A1","aiming","52","58","none","py-4TdJ-P0A","756","1"
"3698","i5n_7RpUd301","throwing","4","5","none","i5n_7RpUd30","362","1"
"3699","i5n_7RpUd302","aiming","13","16","none","i5n_7RpUd30","362","1"
"3700","i5n_7RpUd303","advancing","23","28","none","i5n_7RpUd30","362","1"
"3701","i5n_7RpUd304","aiming","26","28","none","i5n_7RpUd30","362","1"
"10389","q-R5Ry7fQFI3","brawling","54","60","medium","q-R5Ry7fQFI","1050","2"
"4160","pUtcfItkY801","crowd","0","5","none","pUtcfItkY80","503","1"
"10391","UmKgFXqk7yk1","throwing","27","31","medium","UmKgFXqk7yk","1051","2"
"10571","Hb_pwU7JlOY6","striking","55","66","easy","Hb_pwU7JlOY","1077","3"
"10303","aeudb1mf-Po5","brawling","178","186","medium","aeudb1mf-Po","1037","2"
"10259","y49WLZ_gCsE2","spray","39","42","easy","y49WLZ_gCsE","1019","2"
"10201","w3y63nQ8wJI3","nothing","90","100","none","w3y63nQ8wJI","463","1"
"10202","w3y63nQ8wJI4","nothing","103","120","none","w3y63nQ8wJI","463","1"
"10203","w3y63nQ8wJI5","nothing","170","185","none","w3y63nQ8wJI","463","1"
"10204","Bi1Kf-1qd6Y1","nothing","14","24","none","Bi1Kf-1qd6Y","853","1"
"10205","Bi1Kf-1qd6Y2","nothing","36","42","none","Bi1Kf-1qd6Y","853","1"
"10206","Bi1Kf-1qd6Y3","nothing","47","67","none","Bi1Kf-1qd6Y","853","1"
"10207","Bi1Kf-1qd6Y4","nothing","79","99","none","Bi1Kf-1qd6Y","853","1"
"10208","Bi1Kf-1qd6Y5","nothing","140","155","none","Bi1Kf-1qd6Y","853","1"
"10210","Bi1Kf-1qd6Y7","nothing","246","260","none","Bi1Kf-1qd6Y","853","1"
"10211","Bi1Kf-1qd6Y8","nothing","544","551","none","Bi1Kf-1qd6Y","853","1"
"10212","Bi1Kf-1qd6Y9","nothing","570","580","none","Bi1Kf-1qd6Y","853","1"
"10213","Bi1Kf-1qd6Y10","nothing","773","791","none","Bi1Kf-1qd6Y","853","1"
"10214","Bi1Kf-1qd6Y11","nothing","830","840","none","Bi1Kf-1qd6Y","853","1"
"10215","Bi1Kf-1qd6Y12","nothing","1043","1053","none","Bi1Kf-1qd6Y","853","1"
"10216","Bi1Kf-1qd6Y13","nothing","1175","1186","none","Bi1Kf-1qd6Y","853","1"
"10217","Bi1Kf-1qd6Y14","nothing","1257","1272","none","Bi1Kf-1qd6Y","853","1"
"10218","Bi1Kf-1qd6Y15","nothing","1280","1295","none","Bi1Kf-1qd6Y","853","1"
"10219","Bi1Kf-1qd6Y16","nothing","1363","1373","none","Bi1Kf-1qd6Y","853","1"
"10220","vYiDF64gnOk1","nothing","0","15","none","vYiDF64gnOk","438","1"
"10221","vYiDF64gnOk2","nothing","55","74","none","vYiDF64gnOk","438","1"
"10222","56eisygGo6g1","nothing","7","15","none","56eisygGo6g","229","1"
"10223","56eisygGo6g2","nothing","16","31","none","56eisygGo6g","229","1"
"4161","pUtcfItkY802","crowd","14","17","none","pUtcfItkY80","503","1"
"4163","pUtcfItkY804","crowd","33","37","none","pUtcfItkY80","503","1"
"4165","pUtcfItkY806","advancing","39","42","none","pUtcfItkY80","503","1"
"4167","pUtcfItkY808","spray","53","54","none","pUtcfItkY80","503","1"
"4169","pUtcfItkY8010","crowd","61","64","none","pUtcfItkY80","503","1"
"10578","Hb_pwU7JlOY13","striking","158","160","easy","Hb_pwU7JlOY","1077","3"
"3702","i5n_7RpUd305","throwing","35","37","none","i5n_7RpUd30","362","1"
"3703","i5n_7RpUd306","throwing","38","46","none","i5n_7RpUd30","362","1"
"3704","i5n_7RpUd307","throwing","49","64","none","i5n_7RpUd30","362","1"
"3705","i5n_7RpUd308","advancing","70","72","none","i5n_7RpUd30","362","1"
"3706","i5n_7RpUd309","throwing","74","77","none","i5n_7RpUd30","362","1"
"3707","i5n_7RpUd3010","running","85","92","bad","i5n_7RpUd30","362","1"
"3708","i5n_7RpUd3011","advancing","96","98","none","i5n_7RpUd30","362","1"
"3709","i5n_7RpUd3012","advancing","103","109","none","i5n_7RpUd30","362","1"
"3710","KPTBQlyI0tM3","advancing","49","53","none","KPTBQlyI0tM","640","1"
"3712","KPTBQlyI0tM5","running","56","64","hard","KPTBQlyI0tM","640","1"
"3713","KPTBQlyI0tM6","advancing","56","64","none","KPTBQlyI0tM","640","1"
"3714","KPTBQlyI0tM7","advancing","67","72","none","KPTBQlyI0tM","640","1"
"3715","KPTBQlyI0tM8","striking","74","76","none","KPTBQlyI0tM","640","1"
"3716","KPTBQlyI0tM9","throwing","82","83","none","KPTBQlyI0tM","640","1"
"3717","KPTBQlyI0tM10","striking","112","114","none","KPTBQlyI0tM","640","1"
"3718","KPTBQlyI0tM11","restraining","124","128","medium","KPTBQlyI0tM","640","1"
"3719","KPTBQlyI0tM12","person_on_ground","130","135","hard","KPTBQlyI0tM","640","1"
"3720","KPTBQlyI0tM13","running","148","154","hard","KPTBQlyI0tM","640","1"
"3721","KPTBQlyI0tM14","running","155","158","hard","KPTBQlyI0tM","640","1"
"3722","KPTBQlyI0tM15","running","164","182","easy","KPTBQlyI0tM","640","1"
"3723","caj1wO-QT6M1","running","15","19","medium","caj1wO-QT6M","177","1"
"3724","caj1wO-QT6M2","running","20","23","medium","caj1wO-QT6M","177","1"
"3725","caj1wO-QT6M3","aiming","27","33","none","caj1wO-QT6M","177","1"
"3726","caj1wO-QT6M4","advancing","41","44","none","caj1wO-QT6M","177","1"
"3727","caj1wO-QT6M5","running","41","45","medium","caj1wO-QT6M","177","1"
"3728","caj1wO-QT6M6","throwing","49","51","none","caj1wO-QT6M","177","1"
"3729","caj1wO-QT6M7","spray","81","86","none","caj1wO-QT6M","177","1"
"3730","caj1wO-QT6M8","spray","89","90","none","caj1wO-QT6M","177","1"
"3731","caj1wO-QT6M9","advancing","92","96","none","caj1wO-QT6M","177","1"
"3732","caj1wO-QT6M10","throwing","97","102","none","caj1wO-QT6M","177","1"
"10537","AjEYwl0_n7s5","spray","206","209","easy","AjEYwl0_n7s","1069","2"
"10540","AjEYwl0_n7s8","throwing","288","297","easy","AjEYwl0_n7s","1069","2"
"5468","FKtNxukVvpM8","throwing","777","778","none","FKtNxukVvpM","433","1"
"5628","96lU9NXFuEk4","running","218","222","medium","96lU9NXFuEk","29","1"
"10549","tXWnA41_le4","restraining","358","370","easy","tXWnA41_le","1073","2"
"6420","kmvutmbUu4o6","spray","20","24","none","kmvutmbUu4o","394","1"
"6500","ayHKDgWfgfA2","spray","23","24","none","ayHKDgWfgfA","285","1"
"6579","3oym8o7vEqI4","aiming","63","67","none","3oym8o7vEqI","148","1"
"10556","9UBYiGKQoQg4","restraining","107","114","hard","9UBYiGKQoQg","1074","2"
"7447","4UJf_STaRUU16","brawling","641","650","none","4UJf_STaRUU","238","1"
"10561","9UBYiGKQoQg9","running","194","204","easy","9UBYiGKQoQg","1074","2"
"10299","aeudb1mf-Po1","brawling","1","10","easy","aeudb1mf-Po","1037","2"
"10307","aeudb1mf-Po9","striking","195","199","medium","aeudb1mf-Po","1037","2"
"3855","pvuB8st0bEU5","throwing","99","103","none","pvuB8st0bEU","307","1"
"3856","pvuB8st0bEU6","running","105","115","medium","pvuB8st0bEU","307","1"
"3857","pvuB8st0bEU7","advancing","105","115","none","pvuB8st0bEU","307","1"
"3858","pvuB8st0bEU8","throwing","138","141","none","pvuB8st0bEU","307","1"
"3859","pvuB8st0bEU9","throwing","144","147","none","pvuB8st0bEU","307","1"
"3860","pvuB8st0bEU10","throwing","150","153","none","pvuB8st0bEU","307","1"
"3861","pvuB8st0bEU11","throwing","157","162","none","pvuB8st0bEU","307","1"
"3862","pvuB8st0bEU12","throwing","163","165","none","pvuB8st0bEU","307","1"
"3863","pvuB8st0bEU13","throwing","165","166","none","pvuB8st0bEU","307","1"
"3864","pvuB8st0bEU14","throwing","172","175","none","pvuB8st0bEU","307","1"
"3865","pvuB8st0bEU15","throwing","175","178","none","pvuB8st0bEU","307","1"
"3866","pvuB8st0bEU16","throwing","190","192","none","pvuB8st0bEU","307","1"
"3867","pvuB8st0bEU17","throwing","196","199","none","pvuB8st0bEU","307","1"
"3868","pvuB8st0bEU18","running","249","255","medium","pvuB8st0bEU","307","1"
"3869","pvuB8st0bEU19","advancing","249","256","none","pvuB8st0bEU","307","1"
"3870","pvuB8st0bEU20","throwing","257","260","none","pvuB8st0bEU","307","1"
"3871","pvuB8st0bEU21","throwing","261","265","none","pvuB8st0bEU","307","1"
"3872","pvuB8st0bEU22","throwing","277","280","none","pvuB8st0bEU","307","1"
"3873","pvuB8st0bEU23","throwing","281","283","none","pvuB8st0bEU","307","1"
"3874","pvuB8st0bEU24","running","292","300","medium","pvuB8st0bEU","307","1"
"3875","pvuB8st0bEU25","advancing","292","307","none","pvuB8st0bEU","307","1"
"3876","pvuB8st0bEU26","throwing","341","343","none","pvuB8st0bEU","307","1"
"3877","pvuB8st0bEU27","throwing","343","347","none","pvuB8st0bEU","307","1"
"3878","pvuB8st0bEU28","advancing","357","362","none","pvuB8st0bEU","307","1"
"3879","pvuB8st0bEU29","throwing","363","366","none","pvuB8st0bEU","307","1"
"3880","pvuB8st0bEU30","advancing","406","412","none","pvuB8st0bEU","307","1"
"3881","pvuB8st0bEU31","advancing","419","430","none","pvuB8st0bEU","307","1"
"3882","pvuB8st0bEU32","advancing","433","439","none","pvuB8st0bEU","307","1"
"3883","c8XhnyAzJsE1","throwing","78","79","none","c8XhnyAzJsE","804","1"
"3884","c8XhnyAzJsE2","advancing","100","102","none","c8XhnyAzJsE","804","1"
"3885","c8XhnyAzJsE3","crowd","100","102","none","c8XhnyAzJsE","804","1"
"3886","c8XhnyAzJsE4","advancing","187","194","none","c8XhnyAzJsE","804","1"
"3887","c8XhnyAzJsE5","advancing","214","217","none","c8XhnyAzJsE","804","1"
"3888","c8XhnyAzJsE6","advancing","218","220","none","c8XhnyAzJsE","804","1"
"4247","7eTuFAR169s41","crowd","1468","1472","none","7eTuFAR169s","844","1"
"10579","Hb_pwU7JlOY14","striking","164","174","easy","Hb_pwU7JlOY","1077","3"
"3889","c8XhnyAzJsE7","crowd","218","220","none","c8XhnyAzJsE","804","1"
"3890","c8XhnyAzJsE8","advancing","223","227","none","c8XhnyAzJsE","804","1"
"3891","c8XhnyAzJsE9","advancing","228","231","none","c8XhnyAzJsE","804","1"
"3892","c8XhnyAzJsE10","striking","256","258","none","c8XhnyAzJsE","804","1"
"3893","c8XhnyAzJsE11","advancing","263","266","none","c8XhnyAzJsE","804","1"
"3894","c8XhnyAzJsE12","advancing","292","301","none","c8XhnyAzJsE","804","1"
"3895","c8XhnyAzJsE13","crowd","292","301","none","c8XhnyAzJsE","804","1"
"3896","c8XhnyAzJsE14","advancing","303","305","none","c8XhnyAzJsE","804","1"
"3897","c8XhnyAzJsE15","advancing","320","324","none","c8XhnyAzJsE","804","1"
"3898","c8XhnyAzJsE16","advancing","326","329","none","c8XhnyAzJsE","804","1"
"3899","c8XhnyAzJsE17","advancing","358","361","none","c8XhnyAzJsE","804","1"
"3900","c8XhnyAzJsE18","throwing","386","389","none","c8XhnyAzJsE","804","1"
"3901","c8XhnyAzJsE19","person_pointing","395","397","none","c8XhnyAzJsE","804","1"
"3902","c8XhnyAzJsE20","running","400","406","medium","c8XhnyAzJsE","804","1"
"3903","c8XhnyAzJsE21","throwing","411","412","none","c8XhnyAzJsE","804","1"
"3904","c8XhnyAzJsE22","running","461","464","medium","c8XhnyAzJsE","804","1"
"3905","c8XhnyAzJsE23","advancing","519","524","none","c8XhnyAzJsE","804","1"
"3906","c8XhnyAzJsE24","person_on_ground","533","537","medium","c8XhnyAzJsE","804","1"
