label,youtube_id,time_start,time_end,split,clarity_level,bad_egg
crowd,4pRPc04xoEo1,0,12,train,,False
spray,4pRPc04xoEo2,12,18,train,hard,False
running,4pRPc04xoEo3,12,21,train,hard,False
crowd,4pRPc04xoEo4,34,44,train,,False
crowd,4pRPc04xoEo5,66,71,train,,False
spray,4pRPc04xoEo6,87,93,train,,True
crowd,4pRPc04xoEo7,95,107,train,,False
crowd,4pRPc04xoEo8,135,153,train,,False
crowd,4pRPc04xoEo9,167,173,train,,False
crowd,4pRPc04xoEo10,179,192,train,,False
crowd,4pRPc04xoEo11,210,226,train,,False
crowd,4pRPc04xoEo12,252,266,train,,False
crowd,4pRPc04xoEo13,312,318,train,,False
crowd,NSat-nRefXY1,10,12,train,,False
advancing,NSat-nRefXY2,12,17,train,,False
crowd,NSat-nRefXY3,20,31,train,,False
striking,NSat-nRefXY4,45,47,train,hard,False
striking,NSat-nRefXY5,80,82,train,,True
person_on_ground,NSat-nRefXY6,201,204,train,medium,False
restraining,NSat-nRefXY7,206,221,train,medium,False
person_on_ground,NSat-nRefXY8,222,227,train,hard,False
restraining,NSat-nRefXY9,222,228,train,,True
person_on_ground,NSat-nRefXY10,230,236,train,hard,True
restraining,NSat-nRefXY11,228,236,train,hard,False
restraining,NSat-nRefXY12,255,257,train,medium,False
restraining,NSat-nRefXY13,262,265,train,,True
running,8RGiUQwb5H81,8,10,train,,True
crowd,8RGiUQwb5H82,53,56,train,,False
crowd,Cz6PSqbr2pE1,0,6,train,,False
crowd,Cz6PSqbr2pE2,7,11,train,,False
crowd,Cz6PSqbr2pE3,12,17,train,,False
crowd,Cz6PSqbr2pE4,18,24,train,,False
crowd,Cz6PSqbr2pE5,26,31,train,,False
crowd,Cz6PSqbr2pE6,38,51,train,,False
crowd,Cz6PSqbr2pE7,60,65,train,,False
running,LJZSQXpw8ig1,2,5,train,easy,False
running,LJZSQXpw8ig2,45,50,train,medium,False
running,LJZSQXpw8ig3,62,66,train,,True
crowd,4GXivYtOLvQ1,3,4,train,,False
brawling,4GXivYtOLvQ2,5,19,train,,False
striking,4GXivYtOLvQ3,5,19,train,,True
brawling,4GXivYtOLvQ4,20,35,train,,False
striking,4GXivYtOLvQ5,20,35,train,,True
crowd,4GXivYtOLvQ6,42,50,train,,False
crowd,-uaaOVNBQJI1,0,23,train,,False
restraining,-uaaOVNBQJI2,2,8,train,medium,False
person_on_ground,-uaaOVNBQJI3,2,12,train,,True
crowd,g7HhFbkduVM1,0,3,train,,False
running,g7HhFbkduVM2,0,3,train,,True
crowd,g7HhFbkduVM3,7,8,train,,False
crowd,g7HhFbkduVM4,10,13,train,,False
crowd,g7HhFbkduVM5,14,18,train,,False
crowd,g7HhFbkduVM6,24,28,train,,False
crowd,g7HhFbkduVM7,29,33,train,,False
crowd,g7HhFbkduVM8,48,58,train,,False
spray,g7HhFbkduVM9,50,53,train,hard,False
crowd,g7HhFbkduVM10,60,62,train,,False
crowd,g7HhFbkduVM11,63,66,train,,False
running,EWhcAi2O5gk1,2,5,train,medium,False
running,EWhcAi2O5gk2,11,13,train,,True
